Mod,logP_DEG,logP_SNP,logP_ldsc,logP_sum
M16,4.1078398568852785,0.21359064514917905,0.17806004347116797,4.499490545505626
M12,-0.0,1.0833343668420057,1.4513947636144569,2.5347291304564625
M7,-0.0,2.416423382294845,0.09660865741850509,2.5130320397133503
M6,-0.0,1.0592450765401045,1.334651826962748,2.393896903502853
M1,0.4297403772120639,1.3994084741939516,0.2223740263104365,2.051522877716452
M13,0.7194633603884327,0.34373271424554264,0.36871369580356,1.4319097704375354
M8,1.0076838253551959,0.07498395136129553,0.240337773663257,1.3230055503797484
M4,0.16921760472103725,0.277007528302294,0.8187151398827892,1.2649402729061205
M17,-0.0,0.7201876362104321,0.383198917091412,1.103386553301844
M5,-0.0,0.1405341218052832,0.9349854034752533,1.0755195252805365
M15,0.6136431305124296,0.2853618729992309,0.15566634025392814,1.0546713437655886
M0,0.10890050073165418,7.879816622196309e-06,0.5541900643698052,0.6630984449180816
M10,-0.0,0.2758946314090962,0.3585804809043065,0.6344751123134027
M2,0.05777693261163953,0.2352675485190871,0.24256183502086068,0.5356063161515873
M11,-0.0,0.2786904051543165,0.17927547666744428,0.4579658818217608
M3,0.3287175148260981,0.0496385565889618,0.06345608845662037,0.4418121598716803
M9,0.23793855943381534,0.05219278276728576,0.14125449282343194,0.43138583502453304
M14,-0.0,0.1603115541938206,0.16740140498345446,0.32771295917727505
M18,-0.0,0.20843315139431226,0.03625479058476149,0.24468794197907376
